Question,Answer,Context,Intent,Entities,Difficulty,Volatility Level,Comments
"What are the main Capstone tracks available to students?","The main Capstone tracks are: Software Engineering Track, Network Engineering Track, Capstone Enterprise Track, and the Capstone Teaching/Coaching Track.","Capstone Tracks Overview","Identify all main tracks","Software Engineering, Network Engineering, Enterprise, Teaching/Coaching","Easy","Low","Basic listing of tracks"
"How many primary tracks are offered in the YWCC Capstone program?","There are four primary tracks offered.","Capstone Tracks Overview","Count number of tracks","Four primary tracks","Easy","Low","Straightforward numerical detail"
"What does the Software Engineering Track focus on?","The Software Engineering Track focuses on building software solutions, either through Industry-Sponsored Projects or Student Startup Projects.","Software Engineering Track","Explain focus","Software solutions, Industry-sponsored, Startup projects","Easy","Low","Fundamental definition"
"What are the two options under the Software Engineering Track?","Under the Software Engineering Track, students can choose Industry-Sponsored Projects or Student Startup Projects.","Software Engineering Track","Identify sub-options","Industry-Sponsored Projects, Student Startup Projects","Easy","Low","Directly from the description"
"What is an Industry-Sponsored Project in the Software Engineering Track?","Industry-Sponsored Projects involve working with external companies or organizations to solve real-world challenges through software solutions.","Software Engineering Track","Define sub-option","Industry-Sponsored Project","Medium","Low","Partnership with companies"
"What is a Student Startup Project in the Software Engineering Track?","A Student Startup Project is a student-led entrepreneurial initiative where a team develops a proof-of-concept for an innovative solution with market potential.","Software Engineering Track","Define sub-option","Student Startup Project","Medium","Low","Entrepreneurial focus"
"Why might a student choose a Student Startup Project over an Industry-Sponsored Project?","A student might choose a Startup Project to innovate independently, build a product from scratch, experience entrepreneurial challenges, and potentially create a new business concept.","Software Engineering Track","Explain reasons","Innovation, Entrepreneurship, Independence","Medium","Low","Motivation detail"
"What criteria must a Student Startup proposal meet?","It must be unique, have a competitive advantage, be feasible within one semester, have sufficient background knowledge from the founder, and offer a valuable learning experience for YWCC students.","Software Engineering Track","List criteria","Competitive advantage, Feasibility, Learning experience","Medium","Low","Startup requirements"
"What is the focus of the Network Engineering Track?","The Network Engineering Track focuses on network design, configuration, troubleshooting, and learning through the CISCO Academy and associated Cisco project activities.","Network Engineering Track","Explain track focus","Network design, Cisco Academy, Cisco project","Medium","Low","Technical networking skills"
"Which program forms part of the Network Engineering Track?","The CISCO Academy + CISCO Project forms a key part of the Network Engineering Track.","Network Engineering Track","Identify program","CISCO Academy, CISCO Project","Easy","Low","Direct association"
"What can students expect to learn in the Network Engineering Track?","They learn about routing, switching, network security, and other foundational networking concepts to prepare them for Cisco-related certifications and real-world network engineering tasks.","Network Engineering Track","Describe learning outcomes","Routing, Switching, Network Security, Cisco certifications","Medium","Low","Curriculum highlight"
"How does the CISCO Academy help students?","The CISCO Academy provides structured training, official course materials, and hands-on practice with networking tools and technologies, helping students gain industry-relevant skills and certifications.","Network Engineering Track","Explain benefit","CISCO Academy training, Industry relevance","Medium","Low","Value of Cisco program"
"What is the Capstone Enterprise Track?","The Capstone Enterprise Track involves working on internal teams that support the overall Capstone program operations, media, communications, and automation needs.","Enterprise Track","Define track","Operations team, Media & Communications team, Automation team","Medium","Low","Internal support focus"
"What are some examples of teams within the Enterprise Track?","Examples include the Operations Team, the Media & Communications Team, and the Automation Team.","Enterprise Track","List sub-teams","Operations, Media & Communications, Automation","Easy","Low","Subdivision of the Enterprise Track"
"What does the Operations Team do in the Enterprise Track?","The Operations Team supports course logistics, helps with announcements, coordinates events, and ensures smooth operations throughout the semester.","Enterprise Track","Define team role","Operations Team","Medium","Low","Administrative role"
"What is the responsibility of the Media & Communications Team?","The Media & Communications Team handles marketing, branding, promotional materials, social media, and announcements to enhance the visibility of the Capstone program.","Enterprise Track","Define team role","Media & Communications Team","Medium","Low","Marketing and outreach"
"What does the Automation Team focus on?","The Automation Team focuses on creating and improving tools, scripts, and processes to streamline administrative and project-related tasks within the Capstone ecosystem.","Enterprise Track","Define team role","Automation Team","Medium","Low","Efficiency and process improvement"
"Why might a student choose the Enterprise Track over Software Engineering or Network Engineering?","A student may prefer Enterprise if they want to develop organizational, communication, management, and media skills rather than focusing solely on software or networking.","Enterprise Track","Explain choice","Organizational skills, Communication, Management","Medium","Low","Broader skill set"
"What is the Capstone Teaching/Coaching Track about?","The Teaching/Coaching Track involves guiding and mentoring others, such as providing technical coaching in software or network engineering, or working with the RWC program to teach younger students.","Teaching/Coaching Track","Define track","Coaching, Mentoring, Teaching, RWC","Medium","Low","Educational support role"
"What sub-options are available under the Teaching/Coaching Track?","Sub-options include Software Engineering Coaching, Network Engineering Coaching, RWC Coaching for middle/high school students, and RWC International Traveling Coaches opportunities.","Teaching/Coaching Track","List sub-options","Software Coaching, Network Coaching, RWC Coaching","Medium","Low","Multiple mentoring paths"
"What is Software Engineering Coaching in the Teaching/Coaching Track?","Software Engineering Coaching involves mentoring other students or participants, guiding them through coding practices, software design, debugging, and best practices in software development.","Teaching/Coaching Track","Define sub-option","Software Engineering Coaching","Medium","Low","Focus on teaching coding skills"
"What does Network Engineering Coaching entail?","Network Engineering Coaching means helping learners understand networking concepts, troubleshoot network issues, and apply Cisco methodologies, effectively teaching what was learned in the Network Engineering Track.","Teaching/Coaching Track","Define sub-option","Network Engineering Coaching","Medium","Low","Peer instruction on networking"
"What is RWC Coaching?","RWC Coaching involves working with Saturday programs for middle/high school students, teaching them STEM concepts, coding, problem-solving, and inspiring them to pursue tech-related paths.","Teaching/Coaching Track","Define sub-option","RWC Coaching","Medium","Low","Youth education focus"
"How do RWC International Traveling Coaches differ from local RWC Coaches?","RWC International Traveling Coaches travel abroad (e.g., to South America) to conduct workshops, mentoring sessions, and educational programs, thus extending the RWC mission globally.","Teaching/Coaching Track","Distinguish roles","RWC International Traveling Coaches","Hard","Medium","Global outreach"
